CompanyId,ProjectName,ContractNo,Name,Status,Link,Country
0,"P128939 - Pacific Aviation Investment - Tonga",TAL/CFTB/ATK-A14,"Aecom New Zealand Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00017541,Tonga
1,"P128939 - Pacific Aviation Investment - Tonga",TAL/CFLS/ATK-A14,"Aecom New Zealand Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00017540,Tonga
2,"P128939 - Pacific Aviation Investment - Tonga",,"CAPA Consulting Australia in JointVenture with Tourism Futures International Australia",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00017626,Tonga
3,"P128939 - Pacific Aviation Investment - Tonga",,"AIRWAYS CORPORATION NEWZEALAND",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00023808,Tonga
4,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","FERNAS Construction Company Inc.",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
5,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Sinopec International Petroleum Services Corporation",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
6,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Kalpataru Power Transmission Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
7,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Essar Projects (India) Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
8,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Punj Lloyd Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
9,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","KOGAS-HDEC JV",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
10,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Jaihind Projects Limited",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
11,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Sat Engineering & Construction Co.",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
12,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","Larsen & Toubro Ltd.",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
13,"P095965 - BD","GTCL-G1: Dsgn, Sply & Inst of Bakhrabad","JFE Engineering Corporation",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00011736,Bangladesh
14,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"""Dorozhnik"" LLC",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
15,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"""Arpa-Sevan"" OJSC",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
16,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"""Sahakyanshin"" CJSC",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
17,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"JV of ""Egvardshin"" OJSC (Armenia) ? ""SUNIR"" Ltd (Iran)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
20,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"""Spitak-1"" OJSC",rejected,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
21,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"""Spitak-1"" OJSC",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
22,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"""Arpa-Sevan"" OJSC",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
24,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"""Dorozhnik"" LLC",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
18,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"JV of ""SADE"" CTGH (France) ? ""Blesk"" LLC (Russia)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
19,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-1,"JV of ""HAEK-I Shinararutyun"" CJSC (Armenia) ? ""Kowsar 116 Water Co."" PJS (Iran)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025133,Armenia
23,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"JV of ""Egvardshin"" OJSC (Armenia)? ""SUNIR"" Ltd (Iran)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
25,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"JV of ""SADE"" CTGH (France) ? ""Blesk"" LLC (Nevinnomissk)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
26,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"""Sahakyanshin"" CJSC",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
27,"P127759 - IRRIGATION SYSTEM ENHANCEMENT PROJECT",ISEP/ICB/CW-13/001-2,"JV of ""HAEK-I Shinararutyun"" CJSC (Armenia) ? ""Kowsar 116 Water Co."" PJS (Iran)",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00025143,Armenia
28,"P128940 - Pacific Aviation Investment - Tuvalu",MTC/CFTB/ATK-A14,"Aecom New Zealand Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00017536,Tuvalu
29,"P128940 - Pacific Aviation Investment - Tuvalu",MTC/CFLS/ATK-A14,"Aecom New Zealand Limited",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00017535,Tuvalu
30,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. Hutama Karya",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
31,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. Bumi Karsa",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
32,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. Waskita Karya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
33,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. Pembangunan Perumahan",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
34,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. Brantas Abipraya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
35,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP-P2B/PPKSP-SNVTPJSACC/VI/2012,"PT. SAC Nusantara",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024452,Indonesia
36,"P111034 - Jakarta Urgent Flood Mitigation Project",01/PPLP-JBDTB/JUFMP-3/FSK/VI/2012,"PT. Dutaraya Dinametro",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024751,Indonesia
37,"P111034 - Jakarta Urgent Flood Mitigation Project",01/PPLP-JBDTB/JUFMP-3/FSK/VI/2012,"PT. Sarang Tehnik",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024751,Indonesia
38,"P111034 - Jakarta Urgent Flood Mitigation Project",01/PPLP-JBDTB/JUFMP-3/FSK/VI/2012,"PT. Hutama Karya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024751,Indonesia
39,"P111034 - Jakarta Urgent Flood Mitigation Project",01/PPLP-JBDTB/JUFMP-3/FSK/VI/2012,"PT. Waskita Karya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024751,Indonesia
40,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP/DKI/VI/2012,"PT. Brantas Abipraya",awarded,http://search.worldbank.org/wcontractawards/procdetails/OP00024895,Indonesia
41,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP/DKI/VI/2012,"PT. Waskita Karya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024895,Indonesia
42,"P111034 - Jakarta Urgent Flood Mitigation Project",01/JUFMP/DKI/VI/2012,"PT. Wijaya Karya",evaluated,http://search.worldbank.org/wcontractawards/procdetails/OP00024895,Indonesia
